Pdemocratacat,PdeCAT
jordixucla,PdeCAT
carlescampuzano,PdeCAT
lciuro,PdeCAT
sergimiquel,PdeCAT
miriamnoguerasM,PdeCAT
antonipostius,PdeCAT
PSOE,PSOE
gpscongreso,PSOE
sanchezcastejon,PSOE
abalosmeco,PSOE
NadiaCalvino,PSOE
gpalacinguarne,PSOE
rominguera,PSOE
AlconchelMiriam,PSOE
AAlvarezAlvarez,PSOE
javieranton,PSOE
carmen_banos,PSOE
PabloBellido_Az,PSOE
Patri_Blanquer,PSOE
JoseMiguelCama1,PSOE
GregorioCmara,PSOE
Jccampm,PSOE
herick_campos,PSOE
PiliCancela,PSOE
mchaibakhdim,PSOE
RCortesLastra,PSOE
CarmenRCuello,PSOE
odonelorza2011,PSOE
jesusmariafer,PSOE
soniafetesoro,PSOE
M_Aurora_Florez,PSOE
chanofranquis,PSOE
Ogaleanogracia,PSOE
fargmira,PSOE
pepa_bayo,PSOE
mariagv,PSOE
juanluisgordo,PSOE
lidiaguinart,PSOE
LimonesAG,PSOE
maherediadiaz,PSOE
Hernanzsofia,PSOE
AntonioHurtado,PSOE
juanjimenezt,PSOE
MarcLamua,PSOE
LasarteJavier,PSOE
Adrilastra,PSOE
patxilopez,PSOE
GemaL_Somoza,PSOE
lucio_pilar,PSOE
cesarluena,PSOE
Guadalupem1960,PSOE
luzseijo,PSOE
guillermomeijon,PSOE
CarlotaMerchn,PSOE
micaela_navarro,PSOE
estherpcamarero,PSOE
MercePerea,PSOE
aliciapiquer,PSOE
perejoanpons,PSOE
PradasTorres,PSOE
toniquintana,PSOE
RalloArtemi,PSOE
ElviraRamon,PSOE
CesarJRamos,PSOE
tamarayar,PSOE
isabelrguez,PSOE
sorayapsoe,PSOE
jruizcarbonell,PSOE
lcsahuquillo,PSOE
dvserrada,PSOE
Mjesusserranoj,PSOE
felipe_sicilia,PSOE
SimancasRafael,PSOE
SSumelzo,PSOE
JATorresMora,PSOE
emeterina,PSOE
iurquizu,PSOE
soledad_velasco,PSOE
